epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
260,19490.8,0.90685,1.95716,0.91939,0.97974,0.7146,0.36392,0.42945,0.32927,0.70689,0.34137,0.40178,0.27215,0.95499,2.22155,1.0889,1.00902,0.001453,0.001453,0.001453
261,19565.3,0.89847,1.93983,0.90377,0.97665,0.71568,0.36315,0.42923,0.32893,0.70803,0.34036,0.40153,0.27144,0.95468,2.22228,1.08884,1.00894,0.00142,0.00142,0.00142
262,19639.8,0.90304,1.95513,0.91413,0.97776,0.71762,0.36264,0.42899,0.32874,0.70084,0.34339,0.40071,0.27146,0.95466,2.22214,1.08821,1.00877,0.001387,0.001387,0.001387
263,19714.4,0.9048,1.95792,0.91275,0.97581,0.70173,0.36638,0.42818,0.3283,0.69728,0.34224,0.40043,0.2713,0.95499,2.22175,1.08839,1.00886,0.001354,0.001354,0.001354
264,19788.7,0.90153,1.94526,0.9168,0.97577,0.70243,0.3652,0.42849,0.32864,0.70045,0.3415,0.40026,0.27103,0.955,2.22334,1.08835,1.00917,0.001321,0.001321,0.001321
265,19863.9,0.9024,1.94994,0.90986,0.97522,0.70996,0.36301,0.42903,0.32915,0.70513,0.3403,0.40029,0.27087,0.95517,2.22315,1.0879,1.0093,0.001288,0.001288,0.001288
266,19938.1,0.90442,1.9516,0.90861,0.97598,0.7126,0.36159,0.42933,0.32878,0.70535,0.34069,0.4007,0.27153,0.95505,2.22271,1.08814,1.00924,0.001255,0.001255,0.001255
267,20013.7,0.90243,1.95378,0.90467,0.97364,0.71696,0.36045,0.4291,0.32864,0.70311,0.34124,0.40009,0.271,0.95488,2.22267,1.08813,1.00905,0.001222,0.001222,0.001222
268,20088.7,0.90108,1.95005,0.9072,0.97461,0.72045,0.35974,0.42916,0.3283,0.70454,0.34101,0.40018,0.27152,0.95482,2.22284,1.08843,1.00935,0.001189,0.001189,0.001189
269,20163.5,0.90077,1.94923,0.90122,0.97319,0.72308,0.35936,0.42921,0.32847,0.70182,0.34185,0.40017,0.27132,0.95485,2.22295,1.08811,1.00934,0.001156,0.001156,0.001156
270,20237.3,0.89424,1.93611,0.90936,0.97314,0.72361,0.35972,0.42894,0.32885,0.69513,0.34309,0.40001,0.27131,0.95478,2.22335,1.08815,1.00931,0.001123,0.001123,0.001123
271,20312.5,0.89956,1.94004,0.90181,0.97378,0.71662,0.36031,0.42904,0.32884,0.68835,0.34411,0.4012,0.27159,0.95496,2.22489,1.0882,1.00956,0.00109,0.00109,0.00109
272,20386.8,0.89392,1.93568,0.90306,0.97467,0.71645,0.36067,0.42899,0.32901,0.6841,0.34453,0.40095,0.27204,0.95515,2.22429,1.08853,1.0097,0.001057,0.001057,0.001057
273,20461.3,0.89584,1.93135,0.90156,0.97399,0.71769,0.36061,0.42859,0.32862,0.69504,0.34258,0.40097,0.27171,0.95544,2.22542,1.08875,1.01,0.001024,0.001024,0.001024
274,20536.2,0.89952,1.94619,0.90108,0.97308,0.71005,0.36092,0.42814,0.32815,0.69993,0.34043,0.39993,0.27085,0.95516,2.22607,1.08929,1.00984,0.000991,0.000991,0.000991
275,20611.5,0.89928,1.95485,0.89798,0.97361,0.70697,0.36253,0.42819,0.32807,0.68131,0.34364,0.39985,0.27038,0.95463,2.22565,1.08968,1.00975,0.000958,0.000958,0.000958
276,20686.2,0.89549,1.94344,0.89571,0.97265,0.70387,0.36294,0.42819,0.328,0.70326,0.33913,0.40004,0.27025,0.95472,2.22655,1.09029,1.0099,0.000925,0.000925,0.000925
277,20761.7,0.90909,1.96393,0.90955,0.97783,0.70608,0.36323,0.42817,0.32794,0.70068,0.34068,0.4002,0.27022,0.95451,2.2272,1.09016,1.00981,0.000892,0.000892,0.000892
278,20836.7,0.89428,1.93547,0.89659,0.97127,0.70566,0.36302,0.42798,0.32803,0.68341,0.34273,0.39968,0.27032,0.95421,2.22707,1.08968,1.00974,0.000859,0.000859,0.000859
279,20911,0.88915,1.92463,0.89482,0.97254,0.70405,0.36249,0.42792,0.32779,0.67867,0.34275,0.39959,0.27053,0.95393,2.22724,1.09001,1.00945,0.000826,0.000826,0.000826
280,20985.8,0.89372,1.9362,0.89646,0.9739,0.69951,0.36436,0.42828,0.32794,0.68115,0.34311,0.40052,0.27011,0.95437,2.22823,1.09009,1.00968,0.000793,0.000793,0.000793
281,21060.3,0.89133,1.9266,0.89423,0.97241,0.69725,0.36626,0.42802,0.32813,0.68629,0.34203,0.39978,0.2704,0.95429,2.22907,1.09025,1.00961,0.00076,0.00076,0.00076
282,21135.3,0.88904,1.9183,0.8887,0.97053,0.69888,0.36507,0.42791,0.32794,0.68229,0.34457,0.40063,0.27033,0.95411,2.22972,1.09008,1.00955,0.000727,0.000727,0.000727
283,21209.6,0.88735,1.91833,0.88825,0.97108,0.70393,0.36484,0.42837,0.32825,0.70216,0.34004,0.39966,0.27038,0.95431,2.23057,1.09034,1.00947,0.000694,0.000694,0.000694
284,21284.5,0.89509,1.93818,0.89562,0.97436,0.70798,0.36443,0.42797,0.32723,0.6762,0.34598,0.40019,0.27015,0.95493,2.2299,1.09055,1.01018,0.000661,0.000661,0.000661
285,21359.9,0.87882,1.90634,0.88539,0.96944,0.70955,0.36366,0.42806,0.32771,0.67755,0.34499,0.39945,0.27011,0.95514,2.22975,1.09049,1.01015,0.000628,0.000628,0.000628
286,21438.5,0.89408,1.93949,0.89321,0.97174,0.7098,0.36317,0.42788,0.32743,0.69406,0.34214,0.39939,0.26951,0.95504,2.23081,1.09077,1.01025,0.000595,0.000595,0.000595
287,21513.6,0.89085,1.92637,0.88453,0.97003,0.71074,0.36308,0.42747,0.3269,0.69397,0.34241,0.39932,0.26911,0.95505,2.23071,1.09087,1.01035,0.000562,0.000562,0.000562
288,21588.3,0.88375,1.91465,0.88589,0.97174,0.70946,0.36434,0.428,0.32719,0.69387,0.34285,0.40064,0.26989,0.95516,2.2312,1.09056,1.01047,0.000529,0.000529,0.000529
289,21662.6,0.88659,1.91989,0.88783,0.97106,0.71026,0.36473,0.42784,0.32684,0.69584,0.34328,0.40014,0.2696,0.9553,2.232,1.09062,1.01038,0.000496,0.000496,0.000496
290,21737.4,0.8831,1.91568,0.88274,0.97037,0.71147,0.36511,0.42796,0.32648,0.69162,0.34413,0.40006,0.26918,0.95552,2.23169,1.09067,1.01064,0.000463,0.000463,0.000463
291,21837.8,0.88065,1.92266,0.82903,0.96408,0.71248,0.36427,0.42798,0.32534,0.68948,0.34488,0.39992,0.26904,0.9559,2.23332,1.0915,1.01097,0.00043,0.00043,0.00043
292,21901.1,0.86053,1.88101,0.79303,0.95381,0.72031,0.36226,0.42708,0.32629,0.68847,0.34435,0.39863,0.26954,0.95652,2.23327,1.0922,1.01136,0.000397,0.000397,0.000397
293,21963.1,0.85893,1.8798,0.78501,0.95478,0.72348,0.36015,0.42682,0.32601,0.69084,0.34442,0.39974,0.26968,0.95632,2.234,1.09275,1.01112,0.000364,0.000364,0.000364
294,22024.4,0.8528,1.86385,0.77642,0.95173,0.72574,0.35953,0.42725,0.32627,0.68955,0.34357,0.39912,0.26911,0.95665,2.23498,1.09358,1.01113,0.000331,0.000331,0.000331
295,22085.8,0.85377,1.87167,0.77603,0.95073,0.72165,0.36046,0.42739,0.32642,0.68519,0.34473,0.39936,0.26873,0.95666,2.23598,1.09422,1.01122,0.000298,0.000298,0.000298
296,22147.5,0.84888,1.85682,0.77215,0.94924,0.7213,0.36072,0.42784,0.32638,0.69106,0.34401,0.39991,0.26958,0.95708,2.23728,1.09468,1.01152,0.000265,0.000265,0.000265
297,22209,0.85546,1.86865,0.77396,0.95172,0.71234,0.36202,0.4277,0.32644,0.69233,0.34396,0.40087,0.26996,0.95749,2.23713,1.09531,1.01172,0.000232,0.000232,0.000232
298,22271.7,0.85227,1.86705,0.77182,0.95006,0.66648,0.37395,0.42741,0.32618,0.66802,0.34795,0.39956,0.26953,0.95753,2.23778,1.09575,1.01172,0.000199,0.000199,0.000199
299,22333,0.84763,1.85177,0.76173,0.94791,0.66525,0.37347,0.42712,0.3263,0.66774,0.34794,0.39954,0.26942,0.95739,2.23702,1.09633,1.01178,0.000166,0.000166,0.000166
300,22394.4,0.84389,1.85552,0.76095,0.9457,0.6654,0.37437,0.42717,0.3261,0.66428,0.34897,0.39936,0.26937,0.95736,2.23858,1.09667,1.01178,0.000133,0.000133,0.000133
