epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3161.24,1.11649,2.39705,1.47668,1.08787,0.55021,0.33125,0.35142,0.26047,0.53417,0.30791,0.32593,0.21865,1.08465,2.44835,1.42125,1.07867,0.008647,0.008647,0.008647
43,3235.8,1.1211,2.41064,1.46706,1.0873,0.52725,0.31222,0.33835,0.25039,0.52674,0.29039,0.31162,0.2084,1.08783,2.46147,1.4314,1.08013,0.008614,0.008614,0.008614
44,3312.81,1.13009,2.40559,1.4636,1.08856,0.54636,0.31427,0.34819,0.25792,0.50847,0.29642,0.31934,0.21306,1.09825,2.4738,1.43761,1.07958,0.008581,0.008581,0.008581
45,3388.07,1.11372,2.38551,1.45246,1.0824,0.57642,0.32327,0.36034,0.26918,0.56616,0.30259,0.33857,0.22363,1.09008,2.44051,1.40881,1.08195,0.008548,0.008548,0.008548
46,3462.01,1.11088,2.38587,1.44798,1.08303,0.55504,0.3312,0.35998,0.26883,0.52034,0.31234,0.33083,0.22199,1.08967,2.45081,1.41487,1.07613,0.008515,0.008515,0.008515
47,3538.49,1.11202,2.389,1.44165,1.07956,0.52796,0.33642,0.35521,0.26336,0.50443,0.31927,0.32946,0.2178,1.08259,2.42962,1.40051,1.07677,0.008482,0.008482,0.008482
48,3614.32,1.10023,2.36566,1.42923,1.0789,0.56593,0.33526,0.3605,0.26612,0.55005,0.31397,0.33351,0.22387,1.086,2.43189,1.39372,1.07743,0.008449,0.008449,0.008449
49,3688.57,1.10064,2.35849,1.41801,1.07823,0.5803,0.32972,0.36344,0.27025,0.58372,0.30319,0.33643,0.22432,1.08249,2.43208,1.40107,1.07057,0.008416,0.008416,0.008416
50,3766.19,1.10328,2.37316,1.42154,1.07751,0.55097,0.34596,0.36808,0.27362,0.52525,0.32826,0.34138,0.2258,1.07784,2.45427,1.38778,1.07238,0.008383,0.008383,0.008383
51,3841.64,1.09572,2.34893,1.40944,1.07469,0.57466,0.33301,0.35771,0.26738,0.55691,0.31289,0.33219,0.22038,1.08399,2.42434,1.38475,1.0735,0.00835,0.00835,0.00835
52,3917.98,1.09214,2.33954,1.39868,1.07461,0.5716,0.32333,0.3575,0.26858,0.55303,0.30638,0.33491,0.22161,1.06962,2.41622,1.37708,1.07274,0.008317,0.008317,0.008317
53,3992.68,1.09598,2.3564,1.39249,1.07466,0.59199,0.33367,0.36548,0.27238,0.58479,0.31289,0.34434,0.22809,1.07052,2.42729,1.35807,1.07305,0.008284,0.008284,0.008284
54,4069.57,1.08847,2.32673,1.38593,1.06935,0.59987,0.33594,0.3693,0.27492,0.59645,0.31328,0.34446,0.22924,1.08252,2.4325,1.38603,1.07655,0.008251,0.008251,0.008251
55,4143.88,1.09377,2.34962,1.37307,1.06967,0.58711,0.33062,0.36356,0.2724,0.57252,0.30901,0.3388,0.22707,1.06876,2.41553,1.36753,1.06887,0.008218,0.008218,0.008218
56,4217.97,1.09098,2.35152,1.38315,1.06888,0.59257,0.3233,0.35832,0.26678,0.56928,0.30816,0.33558,0.21949,1.08485,2.41293,1.37174,1.07066,0.008185,0.008185,0.008185
57,4292.58,1.0833,2.32866,1.37439,1.06673,0.56094,0.33105,0.36381,0.27154,0.55445,0.3082,0.33783,0.22544,1.06176,2.41215,1.35906,1.065,0.008152,0.008152,0.008152
58,4370.07,1.09455,2.34863,1.36723,1.06903,0.62917,0.32893,0.37563,0.27983,0.60152,0.31404,0.35139,0.23097,1.06174,2.40147,1.34301,1.06689,0.008119,0.008119,0.008119
59,4446.61,1.07271,2.30135,1.36237,1.06436,0.60438,0.33178,0.36869,0.27097,0.58071,0.31012,0.33762,0.22285,1.06009,2.38313,1.34629,1.06704,0.008086,0.008086,0.008086
